7450-176547
OS REV: 1.05 Sensor Cal: 1695329266
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1724332560,+3.50,+20.571, +9.182,+0.988
1724333160,+3.50,+20.646, +9.154,+0.988
1724333760,+3.50,+20.680, +9.137,+0.987
1724334360,+3.50,+20.730, +9.138,+0.988
1724334960,+3.50,+20.789, +9.121,+0.988
1724335560,+3.50,+20.814, +9.127,+0.988
1724336160,+3.50,+20.855, +9.093,+0.987
1724336760,+3.50,+20.889, +9.101,+0.988
1724337360,+3.50,+20.922, +9.081,+0.988
1724337960,+3.50,+20.973, +9.062,+0.987
1724338560,+3.50,+20.998, +9.058,+0.988
1724339160,+3.50,+21.031, +9.050,+0.988
1724339760,+3.50,+21.081, +9.030,+0.987
1724340360,+3.50,+21.098, +9.025,+0.987
1724340960,+3.50,+21.123, +9.021,+0.988
1724341560,+3.51,+21.165, +9.001,+0.987
1724342160,+3.51,+21.190, +9.003,+0.988
1724342760,+3.51,+21.190, +8.995,+0.987
1724343360,+3.51,+21.248, +8.986,+0.988
1724343960,+3.50,+21.950, +8.832,+0.981
